census_tract,county,state,full_fips,median_income,total_population,pct_nonwhite,pct_no_vehicle,pct_poverty
4081.02,Norfolk,Massachusetts,25021408102,136298,4942,0.2055847834884662,0.07119741100323625,0.05324121113594798
4081.03,Norfolk,Massachusetts,25021408103,188478,3398,0.12154208357857565,0.050551470588235295,0.050029429075927015
4081.04,Norfolk,Massachusetts,25021408104,175929,4824,0.1473880597014925,0.020663744520976832,0.02603174603174603
4091.01,Norfolk,Massachusetts,25021409101,165441,6016,0.19564494680851063,0.0,0.01188843164151806
4091.02,Norfolk,Massachusetts,25021409102,186648,5511,0.12901469787697328,0.014184397163120567,0.02540373797858828
4101,Norfolk,Massachusetts,25021410100,99119,6814,0.22996771353096568,0.03277467411545624,0.05268595041322314
4103,Norfolk,Massachusetts,25021410300,109545,5155,0.14723569350145493,0.011170212765957447,0.04760046820132657
4104,Norfolk,Massachusetts,25021410400,99761,6507,0.17412017826955584,0.03135625236116358,0.05593975718457046
4111.01,Norfolk,Massachusetts,25021411101,186696,4219,0.1609386110452714,0.09568106312292358,0.03738095238095238
4111.02,Norfolk,Massachusetts,25021411102,154563,4599,0.07218960643618177,0.03773584905660377,0.00461335676625659
4112,Norfolk,Massachusetts,25021411200,137019,7724,0.22255308130502327,0.03938167096061833,0.059426495393797844
4113.01,Norfolk,Massachusetts,25021411301,186403,5847,0.13750641354540794,0.04668304668304668,0.010273376284172036
4113.02,Norfolk,Massachusetts,25021411302,106917,3928,0.14943991853360494,0.017094017094017096,0.1315368196371398
4121,Norfolk,Massachusetts,25021412100,222182,7016,0.27038198403648805,0.029250457038391225,0.06029076396807297
4122,Norfolk,Massachusetts,25021412200,158750,3586,0.11293920803123259,0.06503442999234889,0.02881014116969173
4123,Norfolk,Massachusetts,25021412300,169667,5547,0.2376059131061835,0.023379383634431455,0.05104831358249772
4131,Norfolk,Massachusetts,25021413100,112031,6016,0.24202127659574468,0.049891540130151846,0.07180851063829788
4132.01,Norfolk,Massachusetts,25021413201,72827,4413,0.14593247224110584,0.13837050523441055,0.10615863886891924
